"PSRC_trips","App_data_estimated_trips","TAZ"
2643,1097.45,1107
4657,1342.89,1108
4854,1749.05,1109
704,361.24,1110
3581,1572.47,1111
2518,1004.64,1112
3562,1078.11,1113
3570,1329.18,1114
5469,2481.2,1115
3817,1070.95,1116
4903,1529.08,1117
5577,3023.61,1118
4778,1485.62,1119
8866,3053.56,1120
5847,1987.02,1121
5275,1883.56,1122
11469,7319.01,1123
9709,5535.46,1124
8471,5708.04,1125
8074,4333.13,1126
2998,1520.21,1127
6122,2841.37,1128
1354,813.22,1129
2911,1123.26,1130
5166,1329.48,1131
2777,1434.66,1132
3145,1755.91,1133
7623,6763.58,1134
4507,6400.39,1135
5350,5663.05,1136
11469,6175.1,1137
653,1274.07,1138
8772,3519.76,1139
4151,1604.03,1140
5736,1887.12,1141
8767,5138.33,1142
8098,3215.3,1143
4067,1782.65,1144
3112,1249.8,1145
3177,1299.76,1146
1723,1260,1147
94,210.85,1148
3360,1596.11,1149
3558,1021.87,1150
2846,1286.35,1151
2425,929.8,1152
1955,695.84,1153
2214,676.84,1154
4338,2109.83,1155
3618,1571.56,1156
1941,745.66,1157
11212,3359.42,1158
760,430.55,1159
4449,1453.86,1160
13692,5751.03,1161
7385,2366.91,1162
9929,2070.05,1163
5617,1522.39,1164
5208,2697.77,1165
9893,9838.64,1166
10041,7599.4,1167
12506,3808.11,1168
3548,1635.78,1169
6178,2945.21,1170
725,1129,1171
1973,813.51,1172
4223,2642.09,1173
7453,3658.91,1174
2938,1147.02,1175
1554,532.79,1176
2387,1708.69,1177
5265,4429.02,1178
5933,2679.93,1179
8802,7980.66,1180
4550,2306.46,1181
6115,1946.33,1182
4174,1767.32,1183
3831,1782.1,1184
2876,809.39,1185
5901,1262.86,1186
3802,1058.19,1187
9368,2512.04,1188
3405,1116.56,1189
3137,1617.46,1190
2703,704.18,1191
3905,1285.18,1192
993,1068.3,1193
5964,4295.33,1194
4616,1966.3,1195
4364,2486.37,1196
2513,1271.1,1197
7839,3153.95,1198
5050,2574.9,1199
912,920.47,1200
2134,952.29,1201
1346,545.09,1202
5422,1459.56,1203
1646,609.32,1204
1420,512.06,1205
6085,2174.35,1206
3533,1455.47,1207
5196,700.98,1208
2615,624.56,1209
2010,1249.19,1210
4682,1758.48,1211
11607,2544.49,1212
8310,3643.9,1213
4819,737.48,1214
718,204.56,1215
11357,1625.56,1216
2329,1417.74,1217
3092,1066.54,1218
1125,1059.02,1219
701,466.49,1220
685,902.68,1221
6299,2707.65,1222
4289,1268.37,1223
7011,3919.67,1224
5335,2478.13,1225
8050,2975.61,1226
7785,2757.43,1227
3721,1105.88,1228
3639,1207.82,1229
2496,2777,1230
3049,969.68,1231
9072,3578.34,1232
5361,1725.09,1233
12887,2942.17,1234
1102,519.44,1235
2829,1358.1,1236
5115,1173.98,1237
3402,1158.34,1238
6233,3360.86,1239
3115,689.4,1240
2125,1212.69,1241
3103,1143.15,1242
1174,389.84,1243
5267,1499.4,1244
5171,2508.34,1245
8673,3148.96,1246
8537,2965.45,1247
8253,3492.14,1248
5105,1773.67,1249
2319,765.62,1250
3116,1206.28,1251
3705,1033.08,1252
2150,1083.94,1253
1199,344.34,1254
9954,3967.2,1255
5509,4805.5,1256
1343,606.25,1257
1032,715.63,1258
3955,994.35,1259
1414,1318.67,1260
2426,1492.79,1261
1976,1831.03,1262
8518,4177.71,1263
5153,1409.11,1264
7049,2175.2,1265
8621,3201.74,1266
6164,1392.68,1267
3203,1199.37,1268
2934,1506.93,1269
4890,1384.4,1270
3576,1340.11,1271
2819,1135.89,1272
1821,741.53,1273
349,87.6,1274
526,141.97,1275
393,133.02,1276
383,79.43,1277
2103,1128.55,1278
708,337.51,1279
1131,447.26,1280
1585,463.91,1281
1192,459.65,1282
427,87.08,1283
319,196.94,1284
618,239.86,1285
1368,380.18,1286
1092,542.22,1287
2966,1114.21,1288
2718,1494.1,1289
3646,1303.02,1290
2780,961.88,1291
3335,1204.41,1292
3283,1276.93,1293
3845,1356.71,1294
1661,631.7,1295
3929,1071.29,1296
2829,862.88,1297
6276,2796.83,1298
4467,1585.7,1299
3281,1030.99,1300
2978,1274.05,1301
4003,2149.48,1302
3058,936.52,1303
4198,2341.96,1304
2795,1145.74,1305
7026,3287.67,1306
6595,4669.66,1307
5464,1710.68,1308
4851,1920.74,1309
1399,563.71,1310
1326,385.6,1311
6252,2524.63,1312
2503,986.75,1313
5582,2912.54,1314
1893,657.54,1315
3089,1052.95,1316
1459,441.64,1317
856,277.19,1318
1053,763.1,1319
296,309.42,1320
1008,475.56,1321
592,115.03,1322
1152,605.94,1323
739,619.6,1324
194,442.24,1325
1258,438.91,1326
6578,1798.18,1327
6261,1913.19,1328
4497,1503.3,1329
10327,6255.28,1330
4904,2206.54,1331
5011,1715.42,1332
1701,803.02,1333
1500,535.83,1334
973,509.52,1335
6926,2228,1336
9963,1903.79,1337
5799,1424.35,1338
5402,1901.55,1339
8452,1635.13,1340
5715,1209.2,1341
2361,1038.89,1342
5822,2247.88,1343
3398,1556.09,1344
14341,2080.01,1345
6651,3898.57,1346
2317,528.54,1347
2428,1548.55,1348
8153,6871.07,1349
5753,2805.2,1350
5209,2093.65,1351
8403,4259.69,1352
3955,1607.93,1353
8783,4386.54,1354
2955,942.11,1355
3562,2206.39,1356
3534,1553.28,1357
1078,724.21,1358
22323,2260.16,1359
4914,2424.88,1360
7137,2190.7,1361
1180,1293.18,1362
4615,2052.27,1363
8091,1739.56,1364
2522,997.27,1365
756,563.46,1366
3047,1517.01,1367
3843,960.67,1368
2056,1075.29,1369
1964,664.27,1370
1557,767.89,1371
172,34.26,1372
1301,409.84,1373
4641,1326.09,1374
741,452.79,1375
702,272.83,1376
637,612.13,1377
5903,2340.22,1378
920,1507.16,1379
611,552.19,1380
396,297.55,1381
2713,719.04,1382
1434,298.62,1383
1838,993.19,1384
1339,518.64,1385
1640,494.3,1386
2448,915.56,1387
1050,701.42,1388
676,318.25,1389
3859,1458.31,1390
4742,2183.42,1391
3604,1509.02,1392
4070,1820.36,1393
7596,3503.02,1394
7204,2673.69,1395
5243,2565.71,1396
5366,2510.26,1397
3142,1083.22,1398
3240,980.81,1399
3673,1115.36,1400
7133,2558.52,1401
7456,3712.19,1402
6998,3377.22,1403
2683,1198.22,1404
4991,1482.8,1405
4290,2004.64,1406
3288,1228.84,1407
8239,1547.65,1408
4228,2835.98,1409
3068,2239.64,1410
9002,5987.8,1411
3414,4792.31,1412
10477,7857.86,1413
906,1545.21,1414
3703,3206.78,1415
4529,1620.98,1416
1355,1023.69,1417
3534,2360.76,1418
